,price,rooms,garages,bathrooms
0,"460.000,00",3,1,1
1,"260.000,00",2,1,1
2,"300.000,00",2,1,2
3,"500.000,00",3,1,2
4,"260.000,00",3,1,1
5,"430.000,00",4,1,2
6,"1.280.000,00",4,2,4
7,"375.000,00",3,1,1
8,"600.000,00",3,1,1
9,"213.000,00",2,1,2
10,"900.000,00",3,2,1
11,180.000,2,1,1
12,280.000,2,1,1
13,362.000,2,1,1
14,228.000,2,1,1
15,265.000,2,1,1
16,192.000,2,1,1
17,250.000,2,1,1
18,127.200,2,1,1
19,"175.000,00",2,0,2
20,"190.000,00",2,1,1
21,"190.000,00",2,1,1
22,"199.000,00",2,1,1
23,"215.000,00",2,0,1
24,"220.000,00",2,0,1
25,"225.000,00",2,1,2
26,"235.000,00",2,1,2
27,"235.000,00",2,1,1
28,"238.000,00",2,1,2
29,"245.000,00",2,1,1
30,"245.000,00",2,1,1
31,"245.000,00",2,0,2
32,"249.000,00",2,0,1
33,"250.000,00",2,1,2
34,"255.000,00",2,1,1
35,"260.000,00",2,1,1
36,"260.000,00",2,1,2
37,"265.000,00",2,1,1
38,"270.000,00",2,1,2
39,"279.000,00",2,1,2
40,"280.000,00",2,0,2
41,"280.000,00",2,2,2
42,"280.000,00",2,1,2
43,"280.000,00",2,0,1
44,"288.000,00",2,0,1
45,"298.000,00",2,0,1
46,"320.000,00",2,1,2
47,"275.000,00",2,1,2
48,"300.000,00",2,1,2
49,"380.000,00",2,1,1
50,"191.000,00",2,1,1
51,"250.000,00",2,1,2
52,"230.000,00",2,1,1
53,"310.000,00",2,1,2
54,"350.000,00",2,1,1
55,"240.000,00",2,1,1
56,"400.000,00",2,1,1
57,"270.000,00",2,1,2
58,"260.000,00",2,1,1
59,"280.000,00",2,1,1
60,"280.000,00",2,1,1
61,"220.000,00",2,1,1
62,"450.000,00",2,1,1
63,"1.000,00",2,1,1
64,"249.000,00",2,1,1
65,"1.500,00",2,1,1
66,"290.000,00",2,1,1
67,"580.000,00",2,1,1
68,"325.000,00",2,1,2
69,"385.000,00",2,1,1
70,"250.000,00",2,1,2
71,"290.000,00",2,1,2
72,"234.000,00",2,1,1
73,"250.000,00",2,1,1
74,"320.000,00",2,1,1
75,"250.000,00",2,1,1
76,"350.000,00",2,1,1
77,148.500,2,1,1
78,160.000,2,1,1
79,185.000,2,1,1
80,190.000,2,1,1
81,190.000,2,1,1
82,198.471,2,1,1
83,200.000,2,1,1
84,200.000,2,1,1
85,200.000,2,1,1
86,217.226,2,1,1
87,219.000,2,1,1
88,225.000,2,1,1
89,"195.000,00",2,1,1
90,"137.800,00",2,1,1
91,"200.000,00",2,1,1
92,"350.000,00",2,1,1
93,"215.000,00",2,1,1
94,"362.000,00",2,1,1
95,"135.000,00",2,1,1
96,"140.000,00",2,1,1
97,"213.000,00",2,1,1
98,"174.000,00",2,1,1
99,"270.000,00",2,1,1
100,"215.000,00",2,1,1
101,"260.000,00",2,1,1
102,"373.000,00",2,1,1
103,"320.000,00",2,1,1
104,"296.800,00",2,1,1
